timestamp,packets_per_sec,syn_ratio,avg_size,unique_ips,unique_port
1771851198.2995286,0.1,0.0,119.0,1,1
1771851199.3037949,0.1,0.0,119.0,1,1
1771851200.3058798,0.3,0.0,80.0,3,3
1771851201.3079476,0.3,0.0,80.0,3,3
1771851202.3101091,0.9,0.0,84.66666666666667,5,5
1771851203.312004,0.9,0.0,84.66666666666667,5,5
1771851204.3139343,1.7,0.0,123.17647058823529,7,7
1771851205.3170679,13.7,0.0,594.5839416058394,9,10
1771851206.3189862,29.4,0.0,790.1598639455782,10,10
1771851207.320981,33.7,0.0,818.4747774480712,10,10
1771851208.323598,34.8,0.0,810.6034482758621,9,10
1771851209.3254175,34.9,0.0,808.6676217765043,9,10
1771851210.3280518,34.9,0.0,808.6676217765043,9,10
1771851211.33014,34.9,0.0,808.6676217765043,9,10
1771851212.3319585,34.4,0.0,819.1744186046511,7,8
1771851213.3339942,34.4,0.0,819.1744186046511,7,8
1771851214.335936,34.5,0.0,821.631884057971,7,8
1771851215.3381555,34.5,0.0,821.631884057971,7,8
1771851216.3398242,7.0,0.0,765.7142857142857,8,7
1771851217.3415806,7.1,0.0,754.9577464788732,8,9
1771851218.3443139,2.9,0.0,351.7931034482759,9,9
1771851219.3459446,2.9,0.0,351.7931034482759,9,9
1771851220.3476162,1.9,0.0,213.8421052631579,9,8
1771851221.3498619,2.2,0.0,209.27272727272728,9,8
1771851222.3517427,2.4,0.0,211.20833333333334,9,8
1771851223.3542588,2.4,0.0,211.20833333333334,9,8
1771851224.3562791,2.7,0.0,195.66666666666666,9,8
1771851225.357948,5.0,0.0,279.68,10,8
1771851226.3605473,5.0,0.0,280.48,10,8
1771851227.36367,8.0,0.0,365.8125,10,8
1771851228.3661556,8.1,0.0,361.320987654321,10,9
1771851229.3676805,9.2,0.0,399.75,10,9
1771851230.3702164,9.4,0.0,392.531914893617,11,10
1771851231.372423,9.4,0.0,392.531914893617,11,10
1771851232.3741887,11.7,0.0,444.4957264957265,12,14
1771851233.3763156,11.8,0.0,443.47457627118644,12,14
1771851234.3778825,11.6,0.0,450.7155172413793,12,14
1771851235.3799121,11.0,0.0,451.45454545454544,12,14
1771851236.3820035,11.3,0.0,507.3628318584071,13,16
1771851237.383526,7.6,0.0,545.0263157894736,10,12
1771851238.3856115,9.1,0.0,564.7472527472528,9,11
1771851239.3875256,8.6,0.011627906976744186,522.5930232558139,10,14
1771851240.3893468,10.4,0.009615384615384616,530.5961538461538,9,13
1771851241.390951,11.5,0.008695652173913044,545.1130434782609,9,13
1771851242.392661,11.5,0.008695652173913044,545.1130434782609,9,13
1771851243.3945105,11.5,0.008695652173913044,545.1130434782609,9,13
1771851244.39636,9.5,0.010526315789473684,562.8631578947368,7,11
1771851245.398381,8.5,0.011764705882352941,540.1411764705882,8,11
1771851246.400158,7.4,0.013513513513513514,503.7162162162162,8,9
1771851247.4022186,8.7,0.011494252873563218,517.2413793103449,9,9
1771851248.4045863,8.7,0.011494252873563218,519.2183908045977,9,9
1771851249.4061966,6.6,0.0,518.3333333333334,9,7
1771851250.4083736,7.0,0.0,473.4,11,11
1771851251.410135,5.7,0.0,437.43859649122805,13,12
1771851252.412786,6.0,0.0,419.1333333333333,13,13
1771851253.4147537,7.1,0.0,459.9577464788732,13,13
1771851254.4164436,7.1,0.0,459.9577464788732,13,13
1771851255.4185057,7.1,0.0,459.9577464788732,13,13
1771851256.4202912,6.4,0.0,502.859375,11,10
1771851257.4221148,5.1,0.0,479.5686274509804,10,10
1771851258.424441,5.1,0.0,479.5686274509804,10,10
1771851259.4264474,6.2,0.0,512.2096774193549,9,10
1771851260.428494,6.2,0.0,512.2096774193549,9,10
1771851261.4304893,6.2,0.0,512.2096774193549,9,10
1771851262.4325085,5.7,0.0,545.0526315789474,5,7
1771851263.434276,5.7,0.0,545.0526315789474,5,7
1771851264.4360187,4.9,0.0,485.16326530612247,6,8
1771851265.4378824,6.8,0.0,499.4852941176471,7,9
1771851266.439666,5.7,0.0,464.63157894736844,8,9
1771851267.441519,5.9,0.0,456.10169491525426,10,9
1771851268.4438255,7.2,0.0,479.8888888888889,9,9
1771851269.4454596,6.7,0.0,410.13432835820896,9,9
1771851270.4475842,12.4,0.0,539.5725806451613,10,13
1771851271.4496412,14.1,0.0,549.5531914893617,10,13
1771851272.4516308,16.2,0.0,618.1913580246913,8,10
1771851273.4546802,36.0,0.0,758.875,10,12
1771851274.4568403,38.1,0.0,749.7191601049868,10,12
1771851275.4589934,36.5,0.0,755.1397260273973,11,12
1771851276.461244,36.6,0.0,753.3060109289618,12,13
1771851277.4632952,37.7,0.0,750.7559681697612,11,14
1771851278.4649935,38.0,0.0,752.0447368421053,11,14
1771851279.4670622,38.1,0.0,753.0551181102362,11,14
1771851280.4691446,33.2,0.0,767.9427710843373,10,10
1771851281.4709213,31.6,0.0,774.0158227848101,10,10
1771851282.4733133,31.6,0.0,774.0158227848101,10,10
1771851283.4749942,10.4,0.0,565.5961538461538,9,9
1771851284.4770536,10.4,0.0,565.5961538461538,9,9
1771851285.4785783,8.4,0.0,564.3571428571429,7,7
1771851286.480579,9.5,0.0,555.9263157894737,7,6
1771851287.4821987,8.5,0.0,534.4705882352941,8,6
1771851288.4842782,9.4,0.0,560.2021276595744,6,6
1771851289.4861865,9.4,0.0,560.2021276595744,6,6
1771851290.488065,8.7,0.0,505.98850574712645,9,11
1771851291.4902794,11.1,0.0,552.6126126126126,9,10
1771851292.4923308,12.1,0.0,520.5454545454545,10,13
1771851293.4944499,12.1,0.0,520.5454545454545,10,13
1771851294.496399,11.0,0.0,486.6181818181818,10,12
1771851295.4980724,11.8,0.0,468.9491525423729,11,16
1771851296.5002024,11.6,0.0,516.4741379310345,10,16
1771851297.5027032,13.3,0.0,536.5639097744361,11,16
1771851298.5041678,12.8,0.0,503.390625,11,16
1771851299.5062757,14.6,0.0,606.2328767123288,11,16
1771851300.5083394,22.0,0.0,699.4181818181818,14,15
1771851301.5104673,25.0,0.0,661.868,15,18
1771851302.5124753,28.1,0.0,679.473309608541,13,15
1771851303.51501,44.5,0.006741573033707865,720.3752808988764,16,22
1771851304.5171955,44.5,0.006741573033707865,720.3752808988764,16,22
1771851305.5193014,43.2,0.006944444444444444,731.1342592592592,13,19
1771851306.5212529,45.1,0.008869179600886918,707.9290465631929,15,19
1771851307.5234196,49.5,0.00808080808080808,699.3737373737374,17,22
1771851308.52573,55.5,0.007207207207207207,705.145945945946,17,22
1771851309.5280669,61.6,0.008116883116883116,682.4837662337662,18,23
1771851310.530025,54.4,0.009191176470588236,641.9044117647059,15,21
1771851311.5321112,49.2,0.01016260162601626,652.5630081300814,14,18
1771851312.5341942,51.3,0.009746588693957114,647.9805068226121,14,21
1771851313.536159,43.2,0.004629629629629629,662.3703703703703,14,19
1771851314.5382261,34.9,0.0057306590257879654,553.8882521489971,13,17
1771851315.5407553,34.4,0.005813953488372093,563.8808139534884,13,17
1771851316.5427938,32.2,0.006211180124223602,564.1149068322982,11,17
1771851317.5449822,27.8,0.0035971223021582736,568.6294964028777,10,13
1771851318.5479746,24.1,0.004149377593360996,511.3319502074689,10,13
1771851319.549824,17.7,0.0,482.11299435028246,11,13
1771851320.5524495,19.3,0.0,502.6269430051814,11,13
1771851321.5544033,23.7,0.0,622.6371308016878,11,14
1771851322.556846,23.4,0.0,640.4017094017094,11,12
1771851323.5584168,22.2,0.0,642.7252252252252,11,12
1771851324.5602186,23.4,0.0,648.2307692307693,11,12
1771851325.5618947,25.4,0.0,641.3622047244095,12,13
1771851326.5644739,26.7,0.0,638.1685393258427,12,13
1771851327.566398,24.2,0.0,638.1363636363636,13,12
1771851328.56836,24.2,0.0,638.1363636363636,13,12
1771851329.5704043,22.5,0.0,661.0311111111112,11,11
1771851330.5722744,22.5,0.0,661.0311111111112,11,11
1771851331.5742953,22.5,0.0,661.0311111111112,11,11
1771851332.5763059,11.5,0.0,554.6086956521739,10,10
1771851333.5782876,11.5,0.0,554.6086956521739,10,10
1771851334.5799599,11.5,0.0,554.6086956521739,10,10
1771851335.5819986,5.9,0.0,530.9322033898305,7,6
1771851336.583932,5.0,0.0,480.26,8,7
1771851337.585652,4.8,0.0,496.9583333333333,8,8
1771851338.587357,5.9,0.0,530.4915254237288,7,7
1771851339.5892012,5.9,0.0,530.4915254237288,7,7
1771851340.5913641,10.5,0.009523809523809525,440.73333333333335,11,16
1771851341.5938153,137.9,0.0007251631617113851,937.5279187817259,14,23
1771851342.6023488,279.6,0.000357653791130186,1016.2170958512161,13,24
1771851343.6217873,347.0,0.0008645533141210375,967.3201729106628,20,50
1771851344.626529,350.1,0.000856898029134533,962.2427877749215,20,50
1771851345.6299765,385.2,0.000778816199376947,979.768691588785,19,49
1771851346.6336346,438.0,0.0006849315068493151,999.1924657534247,19,49
1771851347.6427891,601.2,0.0006653359946773121,1032.0537258815702,20,50
1771851348.6466742,603.9,0.0009935419771485345,1028.3154495777446,21,53
1771851349.6507401,608.8,0.0009855453350854138,1025.0417214191853,21,53
1771851350.6544924,607.2,0.0008234519104084321,1027.1478919631093,20,50
1771851351.657656,491.3,0.0010177081213108082,1040.0869122735598,19,44
1771851352.6610851,378.3,0.0013217023526301878,1033.6936293946603,21,48
1771851353.663947,283.6,0.0010578279266572638,1058.5282087447108,19,29
